Запрос,Кол-во сессий с поиском,Кол-во пользователей поиска,Сесиий с добавлением,Кол-во заказов с поиска,GMV поиска,CR в добавление,Доля переходов в заказ,CR с поиска в заказ,Тип пользователя
петли бабочка,6,6,2,1,152,0.16666666666666666,0.5,0.16666666666666666,0
подшипник инотэк 6001-2rs 4680150971397,6,6,1,1,158,0.16666666666666666,1,0.16666666666666666,0
пилы ручные,6,6,1,1,402,0.16666666666666666,1,0.16666666666666666,0
водоотталкивающая пропитка для кожи и текстиля kudo защита от воды ku-h430,6,6,2,1,298,0.3333333333333333,0.5,0.16666666666666666,0
краска черная аэрозоль,6,5,1,1,167,0.16666666666666666,1,0.16666666666666666,0
15872261,6,6,1,1,828,0.16666666666666666,1,0.16666666666666666,0
лента для ремонта глушителя abro 5смх101,6см er-400,6,5,4,3,664,0.5,0.75,0.5,0
крепеж-клипса для труб строитель д20, 100 шт. pr13.0393,6,6,2,1,234,0.3333333333333333,0.5,0.16666666666666666,0
электроплитки,6,6,1,1,908,0.16666666666666666,1,0.16666666666666666,0
саморез гвозdeck терраса 5,0х60 окрашенный t15 100 шт. 20635060ectxwg4,6,5,2,1,5120,0.3333333333333333,0.5,0.16666666666666666,0
губка очистки паяльного жала (56x36 мм) для zd-931 rexant 12-0193,6,6,1,1,130,0.16666666666666666,1,0.16666666666666666,0
переходник для стиральной машины,6,6,1,1,146,0.16666666666666666,1,0.16666666666666666,0
знак airline инвалид гост, внутренний, на присоске, 150х150 мм, в упаковке 1шт. azn07,6,6,1,2,340,0.16666666666666666,2,0.3333333333333333,0
лампа люминесцентная camelion ft5-13w/33 4200k 5872,6,6,2,1,305,0.3333333333333333,0.5,0.16666666666666666,0
сверло "балеринка" для гипсокартонных плит (12-400 мм) fit 15412,6,6,1,1,725,0.16666666666666666,1,0.16666666666666666,0
грунт эмаль для пластика,6,6,5,1,1082,0.5,0.2,0.16666666666666666,0
автошампун,6,3,3,1,785,0.5,0.3333333333333333,0.16666666666666666,0
крюк с приварной площадкой 3.0 т траст 4687202104093,6,6,1,1,2200,0.16666666666666666,1,0.16666666666666666,0
пассатижи переставные,6,6,1,1,521,0.16666666666666666,1,0.16666666666666666,0
лупы,6,6,1,1,2610,0.16666666666666666,1,0.16666666666666666,0
штифт 6,6,6,1,1,597,0.16666666666666666,1,0.16666666666666666,0
пм5-720э,6,2,1,1,3682,0.16666666666666666,1,0.16666666666666666,0
16499394,6,5,1,1,132,0.16666666666666666,1,0.16666666666666666,0
бесщеточная аккумуляторная цепная пила status unione scb300-20 07410801,6,6,1,1,16950,0.16666666666666666,1,0.16666666666666666,0
климатический комплекс zenet zet-483,6,6,1,1,9199,0.16666666666666666,1,0.16666666666666666,0
саморезы 6х90,6,5,2,1,1119,0.3333333333333333,0.5,0.16666666666666666,0
таблетки для мытья посуды в посудомоечных машинах finish 100шт all in 1 3065326 606400,6,6,3,1,1599,0.5,0.3333333333333333,0.16666666666666666,0
декоративная чашка отражатель masterprof 55х20х12 мм, разъемная, пластик, белая, 2 шт ис.130727,6,6,1,1,130,0.16666666666666666,1,0.16666666666666666,0
коврики для кухонных ящиков,6,6,3,1,1452,0.3333333333333333,0.3333333333333333,0.16666666666666666,0
бесщеточная дрель-шуруповерт status ctw 12-2li 07125701,6,4,1,1,4674,0.16666666666666666,1,0.16666666666666666,0
кситал,6,6,1,1,12799,0.16666666666666666,1,0.16666666666666666,0
метчик м 6,6,6,1,1,124,0.16666666666666666,1,0.16666666666666666,0
ящик для рассады садовита №4 00169254,6,6,1,1,172,0.16666666666666666,1,0.16666666666666666,0
алюминевая смазка,6,5,3,1,1078,0.3333333333333333,0.3333333333333333,0.16666666666666666,0
шиферные гвозди с завальцованной шляпкой мтк пакет 1 кг, 5,0x120 1764050120,6,6,1,1,318,0.16666666666666666,1,0.16666666666666666,0
трофи батарейки,6,6,1,1,143,0.16666666666666666,1,0.16666666666666666,0
картридж ба 10sl обезжелезивающий гейзер 30604,6,5,2,1,576,0.3333333333333333,0.5,0.16666666666666666,0
шайба м22,6,5,1,1,76,0.16666666666666666,1,0.16666666666666666,0
t27,6,6,2,1,335,0.16666666666666666,0.5,0.16666666666666666,0
набор пробойников rockforce 9пр rf-3991(57709),6,6,2,1,527,0.3333333333333333,0.5,0.16666666666666666,0
knipex бокорезы,6,6,2,1,2730,0.3333333333333333,0.5,0.16666666666666666,0
мини пассатижи,6,5,1,1,377,0.16666666666666666,1,0.16666666666666666,0
мультитулы для велосипедов,6,6,3,1,157,0.5,0.3333333333333333,0.16666666666666666,0
скобы для степлера 10 шт в упаковке brauberg №10 1000 штук до 20 листов  220949,6,5,1,2,1536,0.16666666666666666,2,0.3333333333333333,0
паста алмазная асм 7/5 ном группа консул 4631152635510,6,6,3,1,211,0.16666666666666666,0.3333333333333333,0.16666666666666666,0
саморезы с полукруглой головкой,6,6,2,1,353,0.16666666666666666,0.5,0.16666666666666666,0
ф64,5,4,1,1,114,0.2,1,0.2,0
переходник 3/4х1/2,5,5,1,1,880,0.2,1,0.2,0
моторное масло роснефть м-10дм минер. кан. 20 л 12083,5,4,1,1,2685,0.2,1,0.2,0
учетно-распределительный щит эра simple щурн-1/6 ip31, 285х190х145 б0041651,5,5,1,1,1095,0.2,1,0.2,0
коллекторный шкаф wester шрн-1,5,5,1,1,1744,0.2,1,0.2,0
комплект газовая линза с уплотнителем и прозрачной насадкой 2.4 мм профессионал 04191,5,5,1,1,865,0.2,1,0.2,0
теплоизоляционная трубка k-flex pe 09x022-2 r090222155pe0n0,5,5,1,1,208,0.2,1,0.2,0
пистолет полива,5,5,2,1,647,0.4,0.5,0.2,0
16110623,5,5,1,1,20990,0.2,1,0.2,0
аккумулятор einhell pxc plus 18v 4-6 ah multi-ah 4511502,5,5,1,1,7794,0.2,1,0.2,0
диспенсер размотчик алга пак ап для металлических лент однорядной намотки больших диаметров ап омлбд,5,5,2,1,19000,0.4,0.5,0.2,0
вероника,5,5,3,1,48,0.4,0.3333333333333333,0.2,0
биты рн,5,4,5,1,21,0.6,0.2,0.2,0
16077181,5,5,2,1,43,0.4,0.5,0.2,0
диск абразивный точильный 104х3,2х22,2 мм для цепи 3/8pm, 0.325, 1/4 dde 648-106,5,5,1,1,300,0.2,1,0.2,0
ключ для загибания крюков/водосточных желобов yato yt-5410,5,5,1,1,5068,0.2,1,0.2,0
кузовная шайба м6,5,5,1,1,25,0.2,1,0.2,0
щеточный уплотнитель mebax 7х12 серый, в пакете, 6 м 00-00001436,5,5,2,1,476,0.4,0.5,0.2,0
13700919,5,5,1,1,64,0.2,1,0.2,0
шнур каменщика hardy 2мм х 100м 0720-361020,5,5,1,1,608,0.2,1,0.2,0
шпатлевка по монтажной пене neomid 1,4 кг ээ н-шпат-пена/1,4,5,5,1,1,412,0.2,1,0.2,0
tescoma фарфор,5,1,4,1,1346,0.8,0.25,0.2,0
удлинитель старт с заземлением и защитой от детей, 3 розетки, 1.5 м с/у s 3x1-zdiv,5,5,2,1,1200,0.4,0.5,0.2,0
герметик kraftool силиконовый белый, санитарный, 300мл 41255-0,5,5,1,1,351,0.2,1,0.2,0
ножи для электрорубанка 110х24х3 мм, 2 шт (аналог ребир) torgwin t282183,5,5,2,1,314,0.4,0.5,0.2,0
фрезы 6 мм,5,5,1,1,1643,0.2,1,0.2,0
щетка стеклоочистителя super flat 20"/50 см alca 050000,5,5,1,1,450,0.2,1,0.2,0
труба gigant pp-r белая sdr 6 (pn20) 32x5.4 мм, 2м gsg-6,5,4,2,2,798,0.4,1,0.4,0
гибкий шланг для шприца vorel 500мм 78068,5,5,1,1,760,0.2,1,0.2,0
29,5,4,2,1,831,0.4,0.5,0.2,0
краска эпоксидная двухкомпонентная polimer marine 2к серая 1 кг кэп1сер,5,4,2,1,2840,0.2,0.5,0.2,0
головка торцевая магнитная impact black 10x50 мм makita b-66846,5,5,2,1,204,0.4,0.5,0.2,0
стекломат смола-стекло емс-450 (125) эмульсионный, 1 м sm0014,5,5,1,1,450,0.2,1,0.2,0
аккумуляторная цепная пила einhell pxc ge-lc 18 li kit 4501760,5,5,1,1,11469,0.2,1,0.2,0
эксцентрический переход политэк 50/32 505032,5,5,2,1,76,0.2,0.5,0.2,0
от слизней,5,5,2,2,1258,0.4,1,0.4,0
обжимной хомут, цинк tech-krep 40х60 2шт - хомут 136945,5,5,1,1,106,0.2,1,0.2,0
набор для перемещения мебели тундра пластиковые платформы, г/п до 150 кг, 5 предметов 9258558,5,5,2,1,1000,0.4,0.5,0.2,0
переходник 3/4 х 1/2 вн.-нар.,5,5,4,1,908,0.2,0.25,0.2,0
щётка универсальная для моек высокого давления huter 71/5/36,5,5,2,1,821,0.2,0.5,0.2,0
масленка для масла,5,5,2,2,461,0.2,0.5,0.2,0
масло для цепей бензо- и электропил туба 200 мл вмпавто 9206,5,5,1,1,172,0.2,1,0.2,0
кронштейны для проекторов,5,5,1,1,890,0.2,1,0.2,0
трёхступенчатый фильтр гейзер смарт макс био 16031,5,5,1,1,4114,0.2,1,0.2,0
сврочный аппарат,5,5,1,1,3300,0.2,1,0.2,0
косовище деревянное 40 мм 1.8м лето 6760,5,5,3,1,239,0.4,0.3333333333333333,0.2,0
проволока термообработанная доброга d=3,0 гост 3282-74 5 кг цб-00030491,5,5,2,1,1046,0.2,0.5,0.2,0
резьбовые шпильки и штанги с правой резьбой,5,5,1,1,810,0.2,1,0.2,0
зимняя смазка rp - 20w 100 гр rezoil 03.008.00029,5,5,1,1,286,0.2,1,0.2,0
вставка-бита 5/16"dr шлицевая, sl12, 30 мм ombra 556512 55960,5,5,2,1,115,0.4,0.5,0.2,0
бак для мусора gigant 240 л qee-02,5,5,1,1,4990,0.2,1,0.2,0
гайка на болгарку,5,4,1,1,226,0.2,1,0.2,0
компрессионная муфта пнд,5,4,2,1,147,0.4,0.5,0.2,0
колер зеленый,5,5,6,1,64,0.6,0.16666666666666666,0.2,0
индикатор часового типа links ич 10x0.01мм 801-02,5,5,1,1,5715,0.2,1,0.2,0
демеркуризационный комплект,5,5,1,1,3861,0.2,1,0.2,0
дихлоритан,5,4,1,1,60,0.2,1,0.2,0
набор ершиков сорокин 38 шт. 40.186,5,5,1,1,2299,0.2,1,0.2,0
наборы свёрл,5,5,3,3,1933,0.2,0.3333333333333333,0.2,0
строительное усиленное пластмассовое ведро matrix 12 л 81409,5,5,3,1,610,0.6,0.3333333333333333,0.2,0
уплотнительный жгут izol garant сплошной жс 40,5,5,1,1,69,0.2,1,0.2,0
пластиковый степлер барс тип скобы 53 6-10 мм 40001,5,5,2,1,528,0.2,0.5,0.2,0
рамка для выключателя,5,5,1,1,72,0.2,1,0.2,0
бак для воды с поплавком акватек ath 500 синий 0-16-2221,5,5,3,1,14670,0.6,0.3333333333333333,0.2,0
удлинитель шнека ex1000 (1000 мм) fubag 838284,5,5,2,1,1480,0.4,0.5,0.2,0
алмазные напильники,5,3,2,1,2660,0.2,0.5,0.2,0
распределительная коробка экопласт jbl090 без сальников о/п 90х42х40, 10 выходов ip55 44055,5,5,1,1,460,0.2,1,0.2,0
концентрат-ополаскиватель для ковров и текстиля мастерхим кислотный ополаскиватель 5 кг 045кбп5,5,5,1,1,621,0.2,1,0.2,0
садовое ограждение мастерсад дачник зелёное дчн-зел,5,5,2,1,1240,0.4,0.5,0.2,0
светодиодная лампа - шар e27 10w 2700k feron lb-92 25457,5,5,2,1,717,0.2,0.5,0.2,0
семена гавриш огурец кураж f1 серия 1+1, 20 шт. 000273,5,5,1,1,95,0.2,1,0.2,0
алюминиевый наконечник зэтарус та 16-8-5,4 уп.6шт zeta10767,5,5,2,1,82,0.4,0.5,0.2,0
26215589,5,5,1,1,352,0.2,1,0.2,0
тройник эко ном латунь 1/2x1/2x1/2 fff тл16-1/2,5,5,1,1,90,0.2,1,0.2,0
савок с длинной ручкой,5,5,2,1,174,0.4,0.5,0.2,0
магистральные фильтры,5,5,1,1,1206,0.2,1,0.2,0
масло универсальное для 2-х тактных двигателей мото 2т 5 л лакирис 78524,5,3,1,1,1050,0.2,1,0.2,0
lezard rain,5,5,1,1,364,0.2,1,0.2,0
мегаизол,5,5,2,1,5600,0.2,0.5,0.2,0
26630227,5,5,2,1,963,0.2,0.5,0.2,0
круг отрезной абразивный по металлу мастер (230х2.5х22.2 мм) зубр 36300-230-2.5,5,4,1,1,12150,0.2,1,0.2,0
строительный бинт sdm 100мм х 50м 00-00003694,5,5,2,1,76,0.4,0.5,0.2,0
труба канализационная ostendorf 75х1500 мм 113050,5,5,2,1,452,0.4,0.5,0.2,0
ремонтный комплект для подкатного домкрата с фиксатором 2,5 т oht225c ombra oht225rk 55989,5,5,1,1,650,0.2,1,0.2,0
комбинированная муфта valfex pp-r белая, 32х1 дюйма нр 10130032 127-0243,5,5,1,1,126,0.2,1,0.2,0
раздвижная система для двухстворчатых шкафов-купе левша dl148 у8-8312,5,5,2,1,1295,0.4,0.5,0.2,0
доикрат,5,5,4,1,2548,0.2,0.25,0.2,0
набор для мойки окон держатель-сгон с шубкой, 35см, пластиковый, baiyun af06003,4,4,2,1,601,0.5,0.5,0.25,0
коронка алмазная 35мм,4,4,2,2,542,0.5,1,0.5,0
torx 12,4,4,2,1,272,0.25,0.5,0.25,0
электроды br 46.00 2 мм, 1 кг brima нп000001333,4,4,2,1,427,0.5,0.5,0.25,0
клей для пвх лодок,4,4,1,1,121,0.25,1,0.25,0
держатель винтовой для мелка сварщика marwel 21002,4,4,2,1,156,0.5,0.5,0.25,0
гайка с фланцем м10,4,4,3,1,434,0.5,0.3333333333333333,0.25,0
торкс т20,4,4,2,1,172,0.5,0.5,0.25,0
гайка шины для stihl ms180 121047 zeepdeep 876287,4,3,1,1,61,0.25,1,0.25,0
аэрозольная краска красная,4,4,1,1,338,0.25,1,0.25,0
штукатурный уголок,4,4,2,1,2068,0.25,0.5,0.25,0
din 976,4,4,2,1,58,0.5,0.5,0.25,0
обжимные клещи для зачистки витой пары и обжима коннекторов 5bites rj-45 rj-11/12 ly-t2007c,4,4,1,1,384,0.25,1,0.25,0
компостер альт-пласт агроном премиум 1200 л, черный к-1200,4,4,1,1,4380,0.25,1,0.25,0
ниппель универсальный быстросъемный 2 шт папа - внутренняя резьба 1/2" stels 57068,4,3,1,1,231,0.25,1,0.25,0
швабра с плоским мопом nv хлопок 40 см nv-mop3400,4,4,1,1,700,0.25,1,0.25,0
16130913,4,4,2,1,363,0.25,0.5,0.25,0
штробник,4,4,1,1,166,0.25,1,0.25,0
1/4 1/2,4,4,1,1,135,0.25,1,0.25,0
проволочная ловушка для кротов и землероек help 12х5 см, 2 шт. 80284,4,4,1,1,128,0.25,1,0.25,0
полотно ленточное для пилы зпл-305 (2320х12,7х0,5 мм, 6 tpi) зубр зпл-305-6т,4,4,1,1,1302,0.25,1,0.25,0
винт госкреп din7985 м4х12, 16 шт. 6-0054800,4,4,1,1,120,0.25,1,0.25,0
зубная паста сплат,4,2,1,1,536,0.25,1,0.25,0
разметочный угольник amigo 185 мм 74604,4,3,1,1,414,0.25,1,0.25,0
набор бит 4 шт тип tw "tri-wing" (720931) redverg 6682352,4,4,3,1,300,0.25,0.3333333333333333,0.25,0
набор ключей имбусовых зубр "эксперт" мини для точных работ cr-v hex 0,7 0,9 1,3 1,5 2 2,5 3 мм 7 шт. 27471-h7,4,4,1,1,226,0.25,1,0.25,0
18442753,4,4,1,2,33134,0.25,1,0.25,0
усиленный сетевой электрический плоский поворотный тройник в розетку idealim white 2,4,4,3,1,320,0.5,0.3333333333333333,0.25,0
бита torx 30,4,4,1,1,58,0.25,1,0.25,0
антисептик для дерева сенеж аквадекор х2-109 орех, 0.9 кг 11057,4,4,1,1,93,0.25,1,0.25,0
металлическая однолапковая скоба сибртех 16 смо 100шт 48179,4,4,1,1,298,0.25,1,0.25,0
наклейка rexant электрическое напряжение 200x200x200 мм 5 шт 56-0006,4,4,2,1,620,0.25,0.5,0.25,0
тройник lammin ppr 25 lm31033000025,4,4,2,1,140,0.5,0.5,0.25,0
16147327,4,4,1,1,342,0.25,1,0.25,0
ншви 0,5,4,4,1,1,205,0.25,1,0.25,0
сварочный комплект для полипропиленовых труб,4,2,1,1,690,0.25,1,0.25,0
кровельная мастика,4,4,2,1,846,0.5,0.5,0.25,0
194074-2,4,3,2,1,96,0.5,0.5,0.25,0
пластиковый ящик gigant 400х230х200 pb-03,4,4,1,1,449,0.25,1,0.25,0
пластификатор для ускорения твердения cemmix fix конц. саше 538663,4,4,1,1,39,0.25,1,0.25,0
средство для удаления грибка и плесени hg 0,5л 186050161,4,4,1,1,1210,0.25,1,0.25,0
полочный контейнер тара.ру 500x155x90 синий 12378,4,3,2,1,1440,0.5,0.5,0.25,0
электролит oilright 1 кг, 1.28 г/куб.см, пэт канистра 5500,4,4,1,1,141,0.25,1,0.25,0
цепь kmc s1 76l односкоростная hd00000727,4,4,1,1,257,0.25,1,0.25,0
угловой уровень,4,3,1,1,2688,0.25,1,0.25,0
штанга для ванны fashun телескопическая, 110-200 см, нержавеющая сталь a8902,4,4,1,1,862,0.25,1,0.25,0
щупы тестера rex07 rexant 13-3032,4,4,1,1,104,0.25,1,0.25,0
масло для заточки,4,3,2,1,395,0.5,0.5,0.25,0
элемент питания космос cr2032 3v lithium 2bl, koc2032bl2,4,4,1,1,32,0.25,1,0.25,0
сверло 16 по металлу,4,4,1,1,307,0.25,1,0.25,0
светодиодная лампа uniel led-gx53-6w/nw/gx53/fr plz01wh матовая ul-00001669,4,4,2,1,308,0.5,0.5,0.25,0
пенообразователь для моек 550 мл, пластик redverg 6681942,4,4,1,1,1315,0.25,1,0.25,0
сверло по стеклу и кафелю,4,4,1,1,320,0.25,1,0.25,0
антисептик для дерева сенеж инса канистра, 5 кг 00000004413,4,4,1,1,2598,0.25,1,0.25,0
диск шлифовальный сетчатый 225 мм, p120 spektros 55694,4,4,2,1,1460,0.5,0.5,0.25,0
копальные 4-х рогие вилы россия арти, 190x220 мм, широкий зуб, удлиненная тулейка, без черенка 63838,4,4,1,1,578,0.25,1,0.25,0
15625038,4,4,1,1,54,0.25,1,0.25,0
распределительная двухкомпонентная коробка промрукав для прямого монтажа безгалогенная hf черная 70х70х40 60-0200-9005,4,3,1,1,156,0.25,1,0.25,0
пнд заглушки,4,4,4,1,114,0.75,0.25,0.25,0
садовая тележка протэкт 38 л, 57х39х95 см, черная тс-57/39/95,4,4,1,1,1801,0.25,1,0.25,0
адаптер ударный 3/4"х1" hortz 958406,4,4,1,1,832,0.25,1,0.25,0
17884627,4,4,1,1,389,0.25,1,0.25,0
наклейка знак электробезопасности 380в rexant 15x50 мм 100 шт 56-0008-1,4,4,1,1,237,0.25,1,0.25,0
фрезы для мотоблоков,4,4,1,1,4900,0.25,1,0.25,0
рожковые искробезопасные ключи 12 мм,4,4,1,1,292,0.25,1,0.25,0
редуктор воздушный высокого давления рв-90 redius 02202,4,4,1,1,9585,0.25,1,0.25,0
кабель тв вилка-тв розетка perfeo, угловой, 3 м 30013827,4,4,1,1,140,0.25,1,0.25,0
аккумуляторная дрель-шуруповерт favourite 30hm obs 21 dc,4,4,1,1,549,0.25,1,0.25,0
нитка разметочная,4,4,1,1,71,0.25,1,0.25,0
заглушка werkel белый a051134,4,4,1,1,336,0.25,1,0.25,0
atn000301,4,4,1,1,592,0.25,1,0.25,0
маркер краска munhwa золото 4мм pm-07,4,3,2,1,179,0.25,0.5,0.25,0
галоша бензин,4,4,1,1,156,0.25,1,0.25,0
семена агрони салат айсберг айс квин 7095,4,4,1,1,16,0.25,1,0.25,0
перчатки свс,4,4,2,1,1110,0.5,0.5,0.25,0
элемент воздушного фильтра для а/м ваз 2108-15/1118/2123 инжектор riginal rg2112-1109080-c320,4,4,1,1,303,0.25,1,0.25,0
клапан обратный для прокачки тормозной системы станкоимпорт ka-2439-1,4,4,1,1,1290,0.25,1,0.25,0
флюс для пайки, бура, 20 г, банка, блистер rexant 09-3655-1,4,4,1,1,55,0.25,1,0.25,0
оловотсос,4,4,2,1,273,0.5,0.5,0.25,0
13701315,4,4,1,1,6500,0.25,1,0.25,0
угольный картридж гейзер микс блок 0.6 мкм 10sl 27132,4,4,1,1,649,0.25,1,0.25,0
метчик м32x2 м/р комплект 2 шт. р6м5 hortz 203926,4,4,2,1,5780,0.5,0.5,0.25,0
аналоговый дефлятор с манометром риф со шлангом, от 0.3 до 5 атм rif-dg-a,4,4,1,1,2780,0.25,1,0.25,0
соединительная колодка,4,4,2,1,232,0.5,0.5,0.25,0
опорная тарелка под фибровый круг,4,4,3,1,580,0.5,0.3333333333333333,0.25,0
дрв,4,3,1,1,842,0.25,1,0.25,0
перчатки монтажника квт с-32 р.m 75381,4,4,1,1,750,0.25,1,0.25,0
свеча на ветру,4,4,1,1,605,0.25,1,0.25,0
водная морилка новбытхим махагон 0,5л 897,4,4,1,1,82,0.25,1,0.25,0
набор головок для шуруповёрта,4,4,1,1,100,0.25,1,0.25,0
розетка legrand 2к без шторок, белая 782210,4,4,1,1,804,0.25,1,0.25,0
трехходовый кран для манометра эко-м экомера g1/2вн-g1/2нар ктх-gf-gm,4,4,2,1,1240,0.5,0.5,0.25,0
ключ для ремонта вентиля камер автоdело vg5-vg8 40072 13506,4,4,1,1,78,0.25,1,0.25,0
мультитул ganzo g204,4,4,1,1,2928,0.25,1,0.25,0
силовой бронированный кабель подольсккабель вбшв 4x6 40м гост 31996-2012 029420456-40,4,4,1,1,21271,0.25,1,0.25,0
pr48,4,4,3,1,268,0.75,0.3333333333333333,0.25,0
аэрогриль xiaomi mi smart air fryer bhr4849eu,4,4,1,1,8561,0.25,1,0.25,0
петунья семена,4,2,6,1,34,0.75,0.16666666666666666,0.25,0
дюбель fischer duopower 10x50 50 шт 555010,4,4,1,1,1100,0.25,1,0.25,0
ручная шестеренная цепная таль ocalift norma трш 3т 12м nm300012,4,4,1,1,21400,0.25,1,0.25,0
кабель канал 100,4,4,1,1,1092,0.25,1,0.25,0
вода дистиллированная ниагара 5 л niagara 001012000010,3,3,1,1,111,0.3333333333333333,1,0.3333333333333333,0
15619819,3,3,1,1,3948,0.3333333333333333,1,0.3333333333333333,0
масло моторное зик,3,2,1,1,2868,0.3333333333333333,1,0.3333333333333333,0
обогреватель инфракрасный neoclima ir-0.8,3,3,2,1,3797,0.3333333333333333,0.5,0.3333333333333333,0
черенок 30мм,3,3,1,1,115,0.3333333333333333,1,0.3333333333333333,0
мини-валик сибртех работы с древесиной 110 мм 80596,3,3,1,1,72,0.3333333333333333,1,0.3333333333333333,0
a7tc,3,3,2,1,532,0.3333333333333333,0.5,0.3333333333333333,0
ножи для рубанков,3,3,1,1,194,0.3333333333333333,1,0.3333333333333333,0
16312352,3,3,1,1,2479,0.3333333333333333,1,0.3333333333333333,0
15920064,3,3,3,1,266,0.6666666666666666,0.3333333333333333,0.3333333333333333,0
краситель-пропитка для кожи новбытхим карат, коричневый, флакон 100 мл 1227,3,3,1,1,126,0.3333333333333333,1,0.3333333333333333,0
20972385,3,3,1,1,6740,0.3333333333333333,1,0.3333333333333333,0
штуцер для шланга 3/4" - 25 мм tim 771825,3,3,2,1,164,0.6666666666666666,0.5,0.3333333333333333,0
выравнивающая шпатлевка боларс 2100 25 кг 00000007454,3,1,3,1,3204,0.6666666666666666,0.3333333333333333,0.3333333333333333,0
ручка газа eco gtp-x036,3,3,1,1,881,0.3333333333333333,1,0.3333333333333333,0
расширительная насадка pexcase для труб из сшитого полиэтилена диаметром 16 мм для инструмента pexcase/pextool (стабильная труба) stout rg008ue2hh3hi2,3,3,1,1,3451,0.3333333333333333,1,0.3333333333333333,0
электрический перфоратор витязь пэ-1100м 18014013,3,3,2,1,6099,0.6666666666666666,0.5,0.3333333333333333,0
22247835,3,3,1,1,51,0.3333333333333333,1,0.3333333333333333,0
грунт белый,3,3,1,1,287,0.3333333333333333,1,0.3333333333333333,0
насадки для сварки,3,3,1,1,525,0.3333333333333333,1,0.3333333333333333,0
угловая вилка с заземлением ekf avy16-10 белая 16а 250в,3,3,1,1,70,0.3333333333333333,1,0.3333333333333333,0
семена гавриш аквилегия мак кана, культурная гигант 0.05 г 1071856769,3,2,2,2,53,0.6666666666666666,1,0.6666666666666666,0
шуманит от засоров,3,2,1,1,494,0.3333333333333333,1,0.3333333333333333,0
сверло по металлу зубр профессионал 2х49 мм, сталь р6м5 29621-2,3,3,1,1,29,0.3333333333333333,1,0.3333333333333333,0
кисть плоская 20мм,3,3,1,1,19,0.3333333333333333,1,0.3333333333333333,0
штуцер с наружной резьбой 1/4" - елочка 8 мм arma m1/4-08,3,3,1,1,103,0.3333333333333333,1,0.3333333333333333,0
набор сверл по металлу p6m5 19 шт энкор 25219,3,3,1,1,1572,0.3333333333333333,1,0.3333333333333333,0
клей для пробки bostik kork 3 кг 30615197,3,3,1,1,2980,0.3333333333333333,1,0.3333333333333333,0
электронный таймер для полива с жк-дисплеем deko dkit03 с шаровым механизмом 065-0956,3,3,2,1,2727,0.3333333333333333,0.5,0.3333333333333333,0
крепеж для умывальника,3,3,3,1,106,0.3333333333333333,0.3333333333333333,0.3333333333333333,0
винт с внутренним шестигранником креп-комп нержавейка, din 912, а2, 6х16 50 шт. вшн616мф,3,3,1,1,543,0.3333333333333333,1,0.3333333333333333,0
ручка для балконной двери скобяной пластик, белый 008401,3,3,1,1,42,0.3333333333333333,1,0.3333333333333333,0
уплотнительный жгут izol garant с отверстием жо 20/8,3,3,1,1,60,0.3333333333333333,1,0.3333333333333333,0
насадка для мфи по камню и плитке (88 мм) практика 240-348,3,3,1,1,635,0.3333333333333333,1,0.3333333333333333,0
16171508,3,3,2,1,632,0.3333333333333333,0.5,0.3333333333333333,0
стальная стремянка sevenberg nova с 3-мя широкими ступенями 4687202292585,3,3,1,1,2365,0.3333333333333333,1,0.3333333333333333,0
хозяйственное жидкое мыло с маслом кедра grass 5кг 125581,3,3,2,1,482,0.6666666666666666,0.5,0.3333333333333333,0
валик малярный 50мм,3,3,1,1,104,0.3333333333333333,1,0.3333333333333333,0
скобы startul 10 мм тип 20ga 5000 штук profi st4530-10,3,3,1,1,285,0.3333333333333333,1,0.3333333333333333,0
сверло по дереву 15,3,3,1,1,94,0.3333333333333333,1,0.3333333333333333,0
светильник jazzway ts8-l12-accu, pir датчик 5037618,3,2,1,1,984,0.3333333333333333,1,0.3333333333333333,0
цилиндровый механизм apecs sm-70/30/40c/-c-ni 28618,3,3,1,1,1086,0.3333333333333333,1,0.3333333333333333,0
преоброзователь ржавчины в грунт,3,2,2,2,915,0.6666666666666666,1,0.6666666666666666,0
42045,3,2,1,1,500,0.3333333333333333,1,0.3333333333333333,0
емкость для стирального порошка berossi 6 л голубая лагуна ас 35647000,3,3,1,1,524,0.3333333333333333,1,0.3333333333333333,0
масло м-8в 4 л gazpromneft 2389901394,3,3,1,1,889,0.3333333333333333,1,0.3333333333333333,0
уровень тип 70, 120 см stabila 02289,3,3,2,1,4300,0.3333333333333333,0.5,0.3333333333333333,0
пена активная dr. active "af 900" 6 кг 802543,3,3,1,1,1509,0.3333333333333333,1,0.3333333333333333,0
сварочная маска патриот 300d,3,1,1,1,1156,0.3333333333333333,1,0.3333333333333333,0
рюкзак wenger 14", оранжевый, 18 л 605095,3,3,1,1,3218,0.3333333333333333,1,0.3333333333333333,0
кран-букса под квадрат griale а-4k-2p,3,3,1,1,220,0.3333333333333333,1,0.3333333333333333,0
бур для перфоратора 6мм,3,3,1,1,191,0.3333333333333333,1,0.3333333333333333,0
клей-цемент для ремонта глушителей airline туба с подвесом, 150 гр. adgc013,3,3,1,1,289,0.3333333333333333,1,0.3333333333333333,0
биметаллический радиатор rommer optima bm 500 6 секций ral9016 89571,3,3,1,1,3059,0.3333333333333333,1,0.3333333333333333,0
провод антенный,3,3,1,1,316,0.3333333333333333,1,0.3333333333333333,0
