Запрос,Кол-во сессий с поиском,Кол-во пользователей поиска,Сесиий с добавлением,Кол-во заказов с поиска,GMV поиска,CR в добавление,Доля переходов в заказ,CR с поиска в заказ,Тип пользователя
строительные пылесосы ,1341,1236,201,6,49145,0.08202833706189411,0.029850746268656716,0.0044742729306487695,0
вилки электрические,1317,1242,378,22,4747,0.1738800303720577,0.05026455026455026,0.01442672741078208,0
краскопульты (краскораспылители, пульверизатор),1302,1250,114,3,11393,0.06605222734254992,0.02631578947368421,0.002304147465437788,0
эксцентриковые шлифмашины (орбитальные),1289,1151,132,11,54466,0.06671838634600466,0.08333333333333333,0.008533747090768037,0
пресс-клещи,1283,1234,71,1,1587,0.036632891660171474,0.014084507042253521,0.000779423226812159,0
слесарные тиски,1280,1206,222,6,20143,0.11015625,0.02702702702702703,0.0046875,0
топор,1276,1211,188,6,7213,0.09404388714733543,0.031914893617021274,0.004702194357366771,0
уровень,1276,1206,191,16,18715,0.10188087774294671,0.07853403141361257,0.011755485893416929,0
термоусадка,1275,1217,342,10,3802,0.13098039215686275,0.029239766081871343,0.00784313725490196,0
бензиновые газонокосилки,1263,1163,136,3,74926,0.06967537608867776,0.022058823529411766,0.0023752969121140144,0
герметики,1226,1116,167,18,19719,0.09135399673735727,0.10778443113772455,0.01468189233278956,0
двухколесные тачки,1222,1162,153,2,8238,0.08756137479541735,0.013071895424836602,0.0016366612111292963,0
опрыскиватель,1222,1145,154,11,32783,0.07446808510638298,0.07142857142857142,0.00900163666121113,0
аккумуляторные дрели-шуруповерты,1193,1103,216,5,72165,0.09471919530595138,0.023148148148148147,0.004191114836546521,0
пистолеты для монтажной пены,1189,1119,202,11,6981,0.11774600504625736,0.054455445544554455,0.009251471825063078,0
лампы | лампочки,1187,1048,267,23,5009,0.12299915754001685,0.08239700374531835,0.018534119629317607,0
ножи,1153,1065,44,3,2194,0.0199479618386817,0.06818181818181818,0.0026019080659150044,0
стрипперы,1140,1080,200,5,6527,0.11228070175438597,0.025,0.0043859649122807015,0
электрические удлинители,1138,1081,258,14,7416,0.1274165202108963,0.05426356589147287,0.012302284710017574,0
зарядные устройства,1136,1064,29,3,8655,0.018485915492957746,0.10344827586206896,0.002640845070422535,0
огнетушители,1124,1036,261,11,6739,0.15747330960854092,0.0421455938697318,0.009786476868327402,0
