Запрос;Кол-во сессий с поиском;Кол-во пользователей поиска;Сесиий с добавлением;Кол-во заказов с поиска;GMV поиска;CR в добавление;Доля переходов корзина - заказ;CR с поиска в заказ;Кол-во символов в строке;;;;;;;;;;;;;;;;;;;;;;;;;;
мотобуры (бензобуры);2512;2270;559;113;1821912;0.1460987261146497;0.19320214669051877;0.042993630573248405;20;;;;;;;;;;;;;;;;;;;;;;;;;;
гаечные ключи;2489;2349;1619;307;549859;0.2864604258738449;0.17974058060531192;0.11691442346323824;13;;;;;;;;;;;;;;;;;;;;;;;;;;
грабли;2486;2356;1305;345;770825;0.3270313757039421;0.2413793103448276;0.12670957361222848;6;;;;;;;;;;;;;;;;;;;;;;;;;;
светодиодные лампы;2467;2299;6204;575;695433;0.3802188893392785;0.08558994197292069;0.21524118362383463;18;;;;;;;;;;;;;;;;;;;;;;;;;;
бокорезы;2459;2358;1115;333;535348;0.33631557543716956;0.27533632286995513;0.12484749898332656;8;;;;;;;;;;;;;;;;;;;;;;;;;;
лампы | лампочки;2343;2130;1463;522;477487;0.35296628254374735;0.32809295967190705;0.20486555697823303;16;;;;;;;;;;;;;;;;;;;;;;;;;;
гайки;2342;2154;1337;428;358142;0.3292058070025619;0.299925205684368;0.17122117847993168;5;;;;;;;;;;;;;;;;;;;;;;;;;;
гофрированные трубы для кабеля гибкие;2273;2165;1172;422;989904;0.37659480862296524;0.3370307167235495;0.1737791465024197;37;;;;;;;;;;;;;;;;;;;;;;;;;;
реноватор | многофункциональный инструмент;2271;2073;443;108;644880;0.13958608542492293;0.23702031602708803;0.046235138705416116;42;;;;;;;;;;;;;;;;;;;;;;;;;;
пистолеты для монтажной пены;2251;2101;1026;418;412990;0.33185250999555754;0.38791423001949316;0.17681030653043092;28;;;;;;;;;;;;;;;;;;;;;;;;;;
электрические удлинители;2237;2147;1152;396;547748;0.32811801519892714;0.3229166666666667;0.1662941439427805;24;;;;;;;;;;;;;;;;;;;;;;;;;;
wd-40;2223;2120;157;64;129643;0.06342780026990553;0.39490445859872614;0.027890238416554206;5;;;;;;;;;;;;;;;;;;;;;;;;;;
дрель;2214;2099;795;150;1633241;0.2068654019873532;0.17735849056603772;0.06368563685636856;5;;;;;;;;;;;;;;;;;;;;;;;;;;
краска;2153;2016;1046;207;723726;0.26706920575940546;0.18833652007648183;0.09150023223409197;6;;;;;;;;;;;;;;;;;;;;;;;;;;
ведра;2127;2016;1452;433;425069;0.40620592383638926;0.28236914600550966;0.1927597555242125;5;;;;;;;;;;;;;;;;;;;;;;;;;;
переставные клещи;2124;1967;802;230;454144;0.24246704331450095;0.2655860349127182;0.10028248587570622;17;;;;;;;;;;;;;;;;;;;;;;;;;;
knipex;2029;1738;527;78;554632;0.12074913750616068;0.13282732447817835;0.03449975357318876;6;;;;;;;;;;;;;;;;;;;;;;;;;;
набор бит;2016;1907;684;178;267007;0.2361111111111111;0.24269005847953215;0.08234126984126984;9;;;;;;;;;;;;;;;;;;;;;;;;;;
подкатные гидравлические домкраты;2013;1855;463;102;658159;0.15101838052657726;0.19438444924406048;0.044709388971684055;33;;;;;;;;;;;;;;;;;;;;;;;;;;
лопаты;2007;1893;928;194;469494;0.24564025909317388;0.19827586206896552;0.0916791230692576;6;;;;;;;;;;;;;;;;;;;;;;;;;;
реноватор;1999;1855;388;113;639282;0.1485742871435718;0.27319587628865977;0.05302651325662831;9;;;;;;;;;;;;;;;;;;;;;;;;;;
перфоратор makita hr 2470;1992;1821;357;150;3995250;0.16214859437751003;0.39775910364145656;0.071285140562249;25;;;;;;;;;;;;;;;;;;;;;;;;;;
кабель и провод для электропроводки;1986;1907;92;29;84976;0.038267875125881166;0.30434782608695654;0.014098690835850957;35;;;;;;;;;;;;;;;;;;;;;;;;;;
полипропиленовые фитинги для пластиковых труб;1956;1751;3489;432;319981;0.44785276073619634;0.11349957007738606;0.20245398773006135;45;;;;;;;;;;;;;;;;;;;;;;;;;;
набор ключей;1936;1852;655;132;509696;0.2231404958677686;0.19389312977099238;0.06559917355371901;12;;;;;;;;;;;;;;;;;;;;;;;;;;
паяльник;1924;1854;587;169;268559;0.21673596673596673;0.2674616695059625;0.0816008316008316;8;;;;;;;;;;;;;;;;;;;;;;;;;;
генератор;1919;1826;284;52;2576431;0.09900990099009901;0.16549295774647887;0.024491922876498175;9;;;;;;;;;;;;;;;;;;;;;;;;;;
аккумуляторные пилы;1900;1811;87;16;122084;0.03315789473684211;0.1724137931034483;0.007894736842105263;19;;;;;;;;;;;;;;;;;;;;;;;;;;
kraftool;1848;1672;1067;80;361843;0.18614718614718614;0.06841611996251172;0.039502164502164504;8;;;;;;;;;;;;;;;;;;;;;;;;;;
струбцина;1785;1696;628;154;335817;0.22128851540616246;0.23089171974522293;0.08123249299719888;9;;;;;;;;;;;;;;;;;;;;;;;;;;
одноколесные тачки;1784;1683;390;115;683819;0.1664798206278027;0.2846153846153846;0.062219730941704035;18;;;;;;;;;;;;;;;;;;;;;;;;;;
строительные и мебельные степлеры;1755;1680;415;92;146760;0.15840455840455842;0.21445783132530122;0.05071225071225071;33;;;;;;;;;;;;;;;;;;;;;;;;;;
наборы сверл;1748;1673;885;189;452399;0.28489702517162474;0.20225988700564973;0.10240274599542334;12;;;;;;;;;;;;;;;;;;;;;;;;;;
кровельные саморезы;1734;1623;872;309;436921;0.32583621683967706;0.3360091743119266;0.16897347174163782;19;;;;;;;;;;;;;;;;;;;;;;;;;;
цемент;1723;1608;225;38;308992;0.08763784097504353;0.1511111111111111;0.019733023795705164;6;;;;;;;;;;;;;;;;;;;;;;;;;;
эксцентриковые шлифмашины (орбитальные);1719;1553;307;104;777006;0.133216986620128;0.3127035830618892;0.055846422338568937;39;;;;;;;;;;;;;;;;;;;;;;;;;;
набор головок;1709;1644;381;87;352363;0.14745465184318315;0.2152230971128609;0.04798127559976594;13;;;;;;;;;;;;;;;;;;;;;;;;;;
пистолеты для герметика;1688;1634;689;300;278669;0.3400473933649289;0.4107402031930334;0.16765402843601895;23;;;;;;;;;;;;;;;;;;;;;;;;;;
спецодежда;1674;1581;129;25;229538;0.037037037037037035;0.18604651162790697;0.014336917562724014;10;;;;;;;;;;;;;;;;;;;;;;;;;;
наборы инструментов;1673;1596;151;10;413855;0.058577405857740586;0.059602649006622516;0.005379557680812911;19;;;;;;;;;;;;;;;;;;;;;;;;;;
бур;1667;1539;362;101;258972;0.11997600479904019;0.26795580110497236;0.05818836232753449;3;;;;;;;;;;;;;;;;;;;;;;;;;;
светильники;1660;1585;710;160;542716;0.2536144578313253;0.2140845070422535;0.09156626506024096;11;;;;;;;;;;;;;;;;;;;;;;;;;;
тележка;1659;1553;191;46;521875;0.0922242314647378;0.2356020942408377;0.027124773960216998;7;;;;;;;;;;;;;;;;;;;;;;;;;;
перчатки хб трикотажные;1634;1583;1085;432;807013;0.45532435740514077;0.37142857142857144;0.24663402692778458;23;;;;;;;;;;;;;;;;;;;;;;;;;;
счетчики воды;1623;1480;536;200;1098574;0.24830560690080097;0.35447761194029853;0.1170671595810228;13;;;;;;;;;;;;;;;;;;;;;;;;;;
паяльники для полипропиленовых труб;1593;1502;535;178;460508;0.2322661644695543;0.31401869158878504;0.10546139359698682;35;;;;;;;;;;;;;;;;;;;;;;;;;;
