Запрос;Кол-во сессий с поиском;Кол-во пользователей поиска;Сесиий с добавлением;Кол-во заказов с поиска;GMV поиска;CR в добавление;Доля переходов корзина - заказ;CR с поиска в заказ;Кол-во символов в строке;;;;;;;;;;;;;;;;;;;;;;;;;;
ручка для опрыскивателя;29;29;1;0;-;0.034482758620689655;0;0;23;;;;;;;;;;;;;;;;;;;;;;;;;;
электрическая коса с цельным валом и ременным приводом daewoo dabc 1800e;29;28;10;5;59950;0.27586206896551724;0.4;0.13793103448275862;72;;;;;;;;;;;;;;;;;;;;;;;;;;
топливомеры и тестеры давления топлива;29;27;1;0;-;0.034482758620689655;0;0;38;;;;;;;;;;;;;;;;;;;;;;;;;;
спрей-разрушитель ржавчины wurth 400 мл 0890225 053 1;29;29;10;6;3486;0.3103448275862069;0.5;0.1724137931034483;53;;;;;;;;;;;;;;;;;;;;;;;;;;
id209bz;29;29;0;0;-;0;-;0;7;;;;;;;;;;;;;;;;;;;;;;;;;;
контакт;29;29;0;0;-;0;-;0;7;;;;;;;;;;;;;;;;;;;;;;;;;;
коврики в салон автомобиля (салонные);29;28;7;1;3542;0.1724137931034483;0.14285714285714285;0.034482758620689655;37;;;;;;;;;;;;;;;;;;;;;;;;;;
трафарет цифры;29;29;0;0;-;0;-;0;14;;;;;;;;;;;;;;;;;;;;;;;;;;
саморез с буром;29;29;5;1;284;0.1724137931034483;0.2;0.034482758620689655;15;;;;;;;;;;;;;;;;;;;;;;;;;;
кабель-каналы с крышкой;29;29;10;4;5446;0.27586206896551724;0.4;0.13793103448275862;23;;;;;;;;;;;;;;;;;;;;;;;;;;
болты с фланцем din 6921;29;29;4;0;-;0.10344827586206896;0;0;24;;;;;;;;;;;;;;;;;;;;;;;;;;
клей для плитки из мрамора и мозаики церезит см 115 25 кг с-20390 1031241;29;29;5;2;18084;0.1724137931034483;0.4;0.06896551724137931;73;;;;;;;;;;;;;;;;;;;;;;;;;;
гребенка palladium белая ws ww 5p 5 делений 110825;29;27;7;1;306;0.2413793103448276;0.14285714285714285;0.034482758620689655;50;;;;;;;;;;;;;;;;;;;;;;;;;;
обжимка ншви;29;29;0;0;-;0;-;0;12;;;;;;;;;;;;;;;;;;;;;;;;;;
изолированные пассатижи gigant 160 мм gicp-160;29;28;6;1;3080;0.20689655172413793;0.16666666666666666;0.034482758620689655;46;;;;;;;;;;;;;;;;;;;;;;;;;;
csvt;29;6;1;1;36120;0.034482758620689655;1;0.034482758620689655;4;;;;;;;;;;;;;;;;;;;;;;;;;;
шпатлевка финишная;29;28;3;1;3973;0.10344827586206896;0.3333333333333333;0.034482758620689655;18;;;;;;;;;;;;;;;;;;;;;;;;;;
устройства для заправки газовых баллонов;29;28;5;3;3492;0.13793103448275862;0.6;0.10344827586206896;40;;;;;;;;;;;;;;;;;;;;;;;;;;
каучуковая розетка атлант с заземлением 16a ip44 черная 80112;29;29;6;2;216;0.20689655172413793;0.3333333333333333;0.06896551724137931;61;;;;;;;;;;;;;;;;;;;;;;;;;;
танометр;29;28;9;3;55563;0.27586206896551724;0.3333333333333333;0.10344827586206896;8;;;;;;;;;;;;;;;;;;;;;;;;;;
фекальные насосы;29;28;6;3;52997;0.20689655172413793;0.5;0.10344827586206896;16;;;;;;;;;;;;;;;;;;;;;;;;;;
увн;29;26;5;0;-;0.1724137931034483;0;0;3;;;;;;;;;;;;;;;;;;;;;;;;;;
вытяжная заклепка;29;27;4;3;17968;0.10344827586206896;0.75;0.10344827586206896;17;;;;;;;;;;;;;;;;;;;;;;;;;;
15290432;29;28;15;8;46616;0.41379310344827586;0.5333333333333333;0.27586206896551724;8;;;;;;;;;;;;;;;;;;;;;;;;;;
dermagrip;29;29;20;6;36784;0.4482758620689655;0.3;0.20689655172413793;9;;;;;;;;;;;;;;;;;;;;;;;;;;
велосипедный замок apecs pd-81-80cm 15284;29;29;9;7;2057;0.3103448275862069;0.7777777777777778;0.2413793103448276;41;;;;;;;;;;;;;;;;;;;;;;;;;;
для мытья посуды;29;29;13;6;964;0.4482758620689655;0.46153846153846156;0.20689655172413793;16;;;;;;;;;;;;;;;;;;;;;;;;;;
кувалда milwaukee 1.36 кг 4932478255;29;29;10;1;1960;0.3448275862068966;0.1;0.034482758620689655;36;;;;;;;;;;;;;;;;;;;;;;;;;;
круг шлифовальный 225;29;25;11;4;7853;0.2413793103448276;0.36363636363636365;0.13793103448275862;21;;;;;;;;;;;;;;;;;;;;;;;;;;
dot4;29;28;9;2;452;0.27586206896551724;0.2222222222222222;0.06896551724137931;4;;;;;;;;;;;;;;;;;;;;;;;;;;
сверло 20мм;29;29;7;1;1882;0.1724137931034483;0.14285714285714285;0.034482758620689655;11;;;;;;;;;;;;;;;;;;;;;;;;;;
тринога;29;28;3;2;11134;0.10344827586206896;0.6666666666666666;0.06896551724137931;7;;;;;;;;;;;;;;;;;;;;;;;;;;
набор щеток для дрели;29;28;12;7;2650;0.3448275862068966;0.5833333333333334;0.2413793103448276;21;;;;;;;;;;;;;;;;;;;;;;;;;;
универсальный грунт экзо 60 л 4;29;28;11;6;58188;0.3793103448275862;0.5454545454545454;0.20689655172413793;31;;;;;;;;;;;;;;;;;;;;;;;;;;
15783893;29;29;10;10;3154;0.27586206896551724;0.8;0.27586206896551724;8;;;;;;;;;;;;;;;;;;;;;;;;;;
отопительное оборудование;29;28;0;0;-;0;-;0;25;;;;;;;;;;;;;;;;;;;;;;;;;;
"малярный нож grossmeister ""автомат"" 008001004";29;29;6;2;7542;0.13793103448275862;0.3333333333333333;0.06896551724137931;45;;;;;;;;;;;;;;;;;;;;;;;;;;
набор из 13 сменных пробойников narex 854600;29;27;3;3;107598;0.10344827586206896;1;0.10344827586206896;44;;;;;;;;;;;;;;;;;;;;;;;;;;
комбинированный ключ 22мм gigant gcw22;29;29;11;6;7168;0.3793103448275862;0.5454545454545454;0.20689655172413793;38;;;;;;;;;;;;;;;;;;;;;;;;;;
резистивные греющие кабели;29;29;1;0;-;0.034482758620689655;0;0;26;;;;;;;;;;;;;;;;;;;;;;;;;;
сварочные насадки для полипропиленовых, пластиковых труб 20 мм blue ocean pprt/ht-20;29;29;3;3;7738;0.06896551724137931;0.6666666666666666;0.06896551724137931;84;;;;;;;;;;;;;;;;;;;;;;;;;;
набор звездочек 7предметов force 3071;29;29;0;0;-;0;-;0;37;;;;;;;;;;;;;;;;;;;;;;;;;;
акватон;29;29;0;0;-;0;-;0;7;;;;;;;;;;;;;;;;;;;;;;;;;;
пластиковая метла №10, круглая черная с деревянным черенком 120х260х1360 мм курс 68072;29;25;5;2;2939;0.1724137931034483;0.4;0.06896551724137931;86;;;;;;;;;;;;;;;;;;;;;;;;;;
переходная манжета политэк резиновая, 50х25 мм 40005025;29;29;17;10;716;0.5172413793103449;0.5294117647058824;0.3103448275862069;55;;;;;;;;;;;;;;;;;;;;;;;;;;
защитный ударопрочный кейс на колёсах сорокин 790х595х360мм 27.180;29;28;1;1;24960;0.034482758620689655;1;0.034482758620689655;66;;;;;;;;;;;;;;;;;;;;;;;;;;
перометр;29;29;10;2;16229;0.3103448275862069;0.2;0.06896551724137931;8;;;;;;;;;;;;;;;;;;;;;;;;;;
наконечник квт ншви 25-16 79453;29;29;8;2;1161;0.2413793103448276;0.25;0.06896551724137931;31;;;;;;;;;;;;;;;;;;;;;;;;;;
угра;29;27;0;0;-;0;-;0;4;;;;;;;;;;;;;;;;;;;;;;;;;;
лампа е40;29;25;1;0;-;0.034482758620689655;0;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;
усиленная односторонняя клейкая лента изоспан ml proff 11.02.00.20.00.000.0025.0050.01;29;27;7;5;35676;0.2413793103448276;0.7142857142857143;0.1724137931034483;86;;;;;;;;;;;;;;;;;;;;;;;;;;
сверло 3х60 мм по дереву gigant gt-073;29;29;7;5;207;0.2413793103448276;0.7142857142857143;0.1724137931034483;38;;;;;;;;;;;;;;;;;;;;;;;;;;
15888194;29;26;2;2;3003;0.06896551724137931;1;0.06896551724137931;8;;;;;;;;;;;;;;;;;;;;;;;;;;
колеровка;29;29;1;0;-;0.034482758620689655;0;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;
насадка для перфоратора;29;29;2;0;-;0.06896551724137931;0;0;23;;;;;;;;;;;;;;;;;;;;;;;;;;
20517826;29;29;2;1;8792;0.06896551724137931;0.5;0.034482758620689655;8;;;;;;;;;;;;;;;;;;;;;;;;;;
грабли садовые профессиональные;29;29;16;5;13577;0.3793103448275862;0.3125;0.1724137931034483;31;;;;;;;;;;;;;;;;;;;;;;;;;;
перфоратор bosh;29;26;0;0;-;0;-;0;15;;;;;;;;;;;;;;;;;;;;;;;;;;
скотч алюминевый;29;28;12;6;3173;0.3793103448275862;0.5;0.20689655172413793;16;;;;;;;;;;;;;;;;;;;;;;;;;;
патрон бзп (2-13 мм;;;;;;;;;19;;;;;;;;;;;;;;;;;;;;;;;;;;
гидравлический пресс для наконечников rexant 12-3061;29;29;1;1;5378;0.034482758620689655;1;0.034482758620689655;52;;;;;;;;;;;;;;;;;;;;;;;;;;
сельскохозяйственная машина huter мк-8000p 70/5/10;29;28;7;1;41211;0.1724137931034483;0.14285714285714285;0.034482758620689655;50;;;;;;;;;;;;;;;;;;;;;;;;;;
штуцер под шланг с наружной резьбой 1/2 х 10 мм стм crsm1210;29;29;9;3;426;0.3103448275862069;0.3333333333333333;0.10344827586206896;60;;;;;;;;;;;;;;;;;;;;;;;;;;
морозильный ларь;29;29;4;1;61392;0.13793103448275862;0.25;0.034482758620689655;16;;;;;;;;;;;;;;;;;;;;;;;;;;
"универсальный набор инструмента kraftool universal-38 1/4"", 38 предметов 27970-h38";29;29;0;2;18322;0;-;0.06896551724137931;82;;;;;;;;;;;;;;;;;;;;;;;;;;
заглушка rvc 1 г 00787;29;29;6;4;6405;0.1724137931034483;0.5;0.10344827586206896;22;;;;;;;;;;;;;;;;;;;;;;;;;;
вибросил;29;28;0;0;-;0;-;0;8;;;;;;;;;;;;;;;;;;;;;;;;;;
силикон спрей;29;25;16;11;18281;0.4482758620689655;0.625;0.3448275862068966;13;;;;;;;;;;;;;;;;;;;;;;;;;;
сайдинг и фасадные панели;29;29;1;0;-;0.034482758620689655;0;0;25;;;;;;;;;;;;;;;;;;;;;;;;;;
геотекстиль иглопробивной;29;29;12;1;18500;0.2413793103448276;0.08333333333333333;0.034482758620689655;25;;;;;;;;;;;;;;;;;;;;;;;;;;
огнестойкая монтажная профессиональная пена огнеза ei240, 935 г 105248;29;29;8;7;76310;0.27586206896551724;0.875;0.2413793103448276;70;;;;;;;;;;;;;;;;;;;;;;;;;;
защитная пленка для салона автомобиля;29;29;0;0;-;0;-;0;37;;;;;;;;;;;;;;;;;;;;;;;;;;
пластиковые стяжки 200 мм;29;29;25;7;6115;0.5517241379310345;0.28;0.2413793103448276;25;;;;;;;;;;;;;;;;;;;;;;;;;;
ленточная шлифовальная машина;29;26;3;0;-;0.10344827586206896;0;0;29;;;;;;;;;;;;;;;;;;;;;;;;;;
сальник dkc pg - 21, 13-18 ip68 53000;29;27;8;4;10344;0.27586206896551724;0.5;0.13793103448275862;37;;;;;;;;;;;;;;;;;;;;;;;;;;
15888461;29;29;5;3;9449;0.1724137931034483;0.6;0.10344827586206896;8;;;;;;;;;;;;;;;;;;;;;;;;;;
лак электроизоляционный ko-921, 100 мл  rexant 09-3789;29;28;10;1;576;0.1724137931034483;0.1;0.034482758620689655;54;;;;;;;;;;;;;;;;;;;;;;;;;;
смазка для направляющих суппортов;29;27;12;7;2698;0.3793103448275862;0.5;0.20689655172413793;33;;;;;;;;;;;;;;;;;;;;;;;;;;
ветошь-цветной трикотаж r2r х/б, мешок 10 кг 7030-00000000013-1;29;28;7;3;29730;0.20689655172413793;0.2857142857142857;0.06896551724137931;63;;;;;;;;;;;;;;;;;;;;;;;;;;
ленточная пила makita lb1200f;29;28;1;0;-;0.034482758620689655;0;0;29;;;;;;;;;;;;;;;;;;;;;;;;;;
сверло 6,7;29;28;12;2;399;0.41379310344827586;0.16666666666666666;0.06896551724137931;10;;;;;;;;;;;;;;;;;;;;;;;;;;
противошумные беруши jeta safety 37дб jem20;29;29;9;2;450;0.3103448275862069;0.2222222222222222;0.06896551724137931;43;;;;;;;;;;;;;;;;;;;;;;;;;;
ручной бур gigant d-250 мм, 1 метр g-0430209;29;29;5;1;963;0.1724137931034483;0.2;0.034482758620689655;44;;;;;;;;;;;;;;;;;;;;;;;;;;
рукав газовый ацетилен/пропан 1 класс красный 40 м, d 9 мм, 0.63 мпа gigant g-752;29;29;10;7;57205;0.3448275862068966;0.7;0.2413793103448276;81;;;;;;;;;;;;;;;;;;;;;;;;;;
пресс-клещи для обжима наконечников 1,5 - 16 кв.мм gigant gect-04;29;29;1;2;3597;0.034482758620689655;2;0.06896551724137931;65;;;;;;;;;;;;;;;;;;;;;;;;;;
труба пп 25;29;26;20;6;15381;0.4827586206896552;0.3;0.20689655172413793;11;;;;;;;;;;;;;;;;;;;;;;;;;;
набор электромонтажника квт ниэ-04 1000 вольт 67332;29;25;2;1;52852;0.06896551724137931;0.5;0.034482758620689655;51;;;;;;;;;;;;;;;;;;;;;;;;;;
лампа лупа;29;26;5;0;-;0.13793103448275862;0;0;10;;;;;;;;;;;;;;;;;;;;;;;;;;
аппарат высокого давления karcher k 7 compact eu 1.447-050;29;29;7;2;90130;0.2413793103448276;0.2857142857142857;0.06896551724137931;58;;;;;;;;;;;;;;;;;;;;;;;;;;
хускварна;29;29;1;0;-;0.034482758620689655;0;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;
корзины для велосипедов;29;28;2;1;965;0.06896551724137931;0.5;0.034482758620689655;23;;;;;;;;;;;;;;;;;;;;;;;;;;
kerher;29;29;1;1;3726;0.034482758620689655;1;0.034482758620689655;6;;;;;;;;;;;;;;;;;;;;;;;;;;
сверло 13мм;29;26;8;2;1504;0.27586206896551724;0.25;0.06896551724137931;11;;;;;;;;;;;;;;;;;;;;;;;;;;
мягкая промывка двигателя lavr 330 мл ln1005;29;28;9;4;1410;0.3103448275862069;0.4444444444444444;0.13793103448275862;44;;;;;;;;;;;;;;;;;;;;;;;;;;
кусторез бензиновый;29;27;1;0;-;0.034482758620689655;0;0;19;;;;;;;;;;;;;;;;;;;;;;;;;;
набор бит с отверткой;29;29;5;1;1973;0.1724137931034483;0.2;0.034482758620689655;21;;;;;;;;;;;;;;;;;;;;;;;;;;
бандажная лента зубр профессионал 20x0.7 мм, 50 м, нержавеющая 310243;29;28;7;4;73045;0.2413793103448276;0.5714285714285714;0.13793103448275862;69;;;;;;;;;;;;;;;;;;;;;;;;;;
препарат 30 плюс;29;16;0;0;-;0;-;0;16;;;;;;;;;;;;;;;;;;;;;;;;;;
теплопушка;29;28;2;2;6010;0.06896551724137931;1;0.06896551724137931;10;;;;;;;;;;;;;;;;;;;;;;;;;;
сверло по металлу hss (6x93 мм) gigant dbm 11021;29;29;8;4;1033;0.27586206896551724;0.5;0.13793103448275862;48;;;;;;;;;;;;;;;;;;;;;;;;;;
сканматик;29;27;0;0;-;0;-;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;
сигнальная лента gigant красно-белая, 75мм х 250м git-4;29;29;6;2;2099;0.20689655172413793;0.3333333333333333;0.06896551724137931;55;;;;;;;;;;;;;;;;;;;;;;;;;;
мягкое стекло;29;27;4;3;5640;0.10344827586206896;0.5;0.06896551724137931;13;;;;;;;;;;;;;;;;;;;;;;;;;;
грунтовка по бетону;29;28;9;5;3967;0.3103448275862069;0.5555555555555556;0.1724137931034483;19;;;;;;;;;;;;;;;;;;;;;;;;;;
бетоносмеситель tor 180 л 2061801;29;28;1;0;-;0.034482758620689655;0;0;33;;;;;;;;;;;;;;;;;;;;;;;;;;
дрель-шуруповерт makita xgt bl/xpt df002gd201;29;28;4;0;-;0.13793103448275862;0;0;45;;;;;;;;;;;;;;;;;;;;;;;;;;
морилка новбытхим;29;22;11;6;1373;0.2413793103448276;0.5454545454545454;0.20689655172413793;17;;;;;;;;;;;;;;;;;;;;;;;;;;
планка для водорозеток;29;17;2;1;30;0.06896551724137931;0.5;0.034482758620689655;22;;;;;;;;;;;;;;;;;;;;;;;;;;
контейнер с крышкой rox box 16 л, прозрачный m-016-00.07;29;27;12;9;33385;0.3448275862068966;0.5833333333333334;0.2413793103448276;56;;;;;;;;;;;;;;;;;;;;;;;;;;
набор торцевых головок с трещоткой goodking 1/2 20 предметов t-1220;29;27;9;2;3966;0.3103448275862069;0.2222222222222222;0.06896551724137931;67;;;;;;;;;;;;;;;;;;;;;;;;;;
радиаторная кисть 50 мм, натуральная щетина, пластиковая ручка сибртех 83857;29;29;15;9;3942;0.3793103448275862;0.6;0.3103448275862069;76;;;;;;;;;;;;;;;;;;;;;;;;;;
кровельная пропановая горелка vertextools 45 см, латунь 0841-45;29;28;6;1;2356;0.20689655172413793;0.16666666666666666;0.034482758620689655;63;;;;;;;;;;;;;;;;;;;;;;;;;;
гайки 3/4 дюйма;29;28;0;1;38;0;-;0.034482758620689655;15;;;;;;;;;;;;;;;;;;;;;;;;;;
гайка мебельная;29;28;2;0;-;0.06896551724137931;0;0;15;;;;;;;;;;;;;;;;;;;;;;;;;;
генератор honda;29;28;0;0;-;0;-;0;15;;;;;;;;;;;;;;;;;;;;;;;;;;
клей titebond;29;26;5;3;16687;0.1724137931034483;0.6;0.10344827586206896;13;;;;;;;;;;;;;;;;;;;;;;;;;;
sodobond;29;12;1;1;170;0.034482758620689655;1;0.034482758620689655;8;;;;;;;;;;;;;;;;;;;;;;;;;;
насос для полива из бочки;29;26;3;1;3515;0.06896551724137931;0.3333333333333333;0.034482758620689655;25;;;;;;;;;;;;;;;;;;;;;;;;;;
15941141;29;27;6;4;19774;0.20689655172413793;0.6666666666666666;0.13793103448275862;8;;;;;;;;;;;;;;;;;;;;;;;;;;
strut-консоли;29;26;1;1;32240;0.034482758620689655;1;0.034482758620689655;13;;;;;;;;;;;;;;;;;;;;;;;;;;
каучуковая колодка эра k-3e-b-ip44 с заземлением 3гнезда 16a ip44 черная б0044545;29;28;14;8;36076;0.3448275862068966;0.35714285714285715;0.1724137931034483;81;;;;;;;;;;;;;;;;;;;;;;;;;;
грунтовка церезит;29;28;5;1;741;0.1724137931034483;0.2;0.034482758620689655;17;;;;;;;;;;;;;;;;;;;;;;;;;;
кабель 2х4;29;24;3;1;123;0.06896551724137931;0.3333333333333333;0.034482758620689655;10;;;;;;;;;;;;;;;;;;;;;;;;;;
сгон terma 1/2 75мм 40544;29;28;3;0;-;0.10344827586206896;0;0;25;;;;;;;;;;;;;;;;;;;;;;;;;;
коронка биметаллическая по металлу 120 мм vertextools 2525-120;29;29;10;2;2582;0.27586206896551724;0.2;0.06896551724137931;62;;;;;;;;;;;;;;;;;;;;;;;;;;
посуда для чая и кофе;29;29;3;0;-;0.06896551724137931;0;0;21;;;;;;;;;;;;;;;;;;;;;;;;;;
кабель 2х1.5;29;28;11;6;20740;0.3793103448275862;0.5454545454545454;0.20689655172413793;12;;;;;;;;;;;;;;;;;;;;;;;;;;
растворитель 646 1л;29;23;5;2;13940;0.1724137931034483;0.4;0.06896551724137931;19;;;;;;;;;;;;;;;;;;;;;;;;;;
s10399212314;29;23;1;0;-;0.034482758620689655;0;0;12;;;;;;;;;;;;;;;;;;;;;;;;;;
клемма заземления 300a зажим массы сварочного аппарата torgwin t564169;29;28;6;4;6408;0.20689655172413793;0.6666666666666666;0.13793103448275862;70;;;;;;;;;;;;;;;;;;;;;;;;;;
оазис;29;28;0;0;-;0;-;0;5;;;;;;;;;;;;;;;;;;;;;;;;;;
очиститель тормозов gigant экстра 520 мл gt-12;29;29;6;5;11600;0.1724137931034483;0.6666666666666666;0.13793103448275862;46;;;;;;;;;;;;;;;;;;;;;;;;;;
цепная аккумуляторная пила forsage 2 полотна для пилы/4 цепи, 1 аккумулятор li-ion 20v, 2.0ah, в кейсе f-csr 1018 e(56461);29;28;2;2;6593;0.06896551724137931;1;0.06896551724137931;122;;;;;;;;;;;;;;;;;;;;;;;;;;
диэлектрические бокорезы квт эксперт 160 70358;29;29;6;4;7004;0.20689655172413793;0.6666666666666666;0.13793103448275862;46;;;;;;;;;;;;;;;;;;;;;;;;;;
ключ на 32;29;29;5;3;2299;0.1724137931034483;0.6;0.10344827586206896;10;;;;;;;;;;;;;;;;;;;;;;;;;;
нить разметочная;29;25;16;7;12718;0.3448275862068966;0.4375;0.2413793103448276;16;;;;;;;;;;;;;;;;;;;;;;;;;;
шланги для отвода выхлопных газов;29;28;4;1;79040;0.13793103448275862;0.25;0.034482758620689655;33;;;;;;;;;;;;;;;;;;;;;;;;;;
тройник электрический веллконт тс-3 викей 3 гн 6а б/з белый 104952;29;29;4;1;239;0.10344827586206896;0.25;0.034482758620689655;66;;;;;;;;;;;;;;;;;;;;;;;;;;
дюбель-гвоздь 6*40;29;27;6;2;9468;0.20689655172413793;0.3333333333333333;0.06896551724137931;18;;;;;;;;;;;;;;;;;;;;;;;;;;
табачная пыль;29;23;1;1;194;0.034482758620689655;1;0.034482758620689655;13;;;;;;;;;;;;;;;;;;;;;;;;;;
сошник;29;27;0;0;-;0;-;0;6;;;;;;;;;;;;;;;;;;;;;;;;;;
шнек для бура;29;29;2;1;1155;0.06896551724137931;0.5;0.034482758620689655;13;;;;;;;;;;;;;;;;;;;;;;;;;;
eibenstock;29;25;0;0;-;0;-;0;10;;;;;;;;;;;;;;;;;;;;;;;;;;
шпалеры;29;27;10;7;25263;0.2413793103448276;0.5;0.1724137931034483;7;;;;;;;;;;;;;;;;;;;;;;;;;;
шланг подкачки шин (1 м;;;;;;;;;23;;;;;;;;;;;;;;;;;;;;;;;;;;
угловая шлифмашина keyang dg125a-750sc;29;28;1;1;4085;0.034482758620689655;1;0.034482758620689655;38;;;;;;;;;;;;;;;;;;;;;;;;;;
электроды сварочные ok 46.00 (2.0х300 мм;;;;;;;;;40;;;;;;;;;;;;;;;;;;;;;;;;;;
milwaukee m12;29;12;6;2;109960;0.13793103448275862;0.3333333333333333;0.06896551724137931;13;;;;;;;;;;;;;;;;;;;;;;;;;;
болт м8х80;29;25;15;5;5203;0.5172413793103449;0.3333333333333333;0.1724137931034483;10;;;;;;;;;;;;;;;;;;;;;;;;;;
труба из сшитого полиэтилена;29;28;5;0;-;0.10344827586206896;0;0;28;;;;;;;;;;;;;;;;;;;;;;;;;;
окрасочный аппарат aktispray комплект (2,3 л/мин, 220 бар, 1300 вт, 220 в, 50 гц) avs-2300n;29;28;6;1;26416;0.20689655172413793;0.16666666666666666;0.034482758620689655;91;;;;;;;;;;;;;;;;;;;;;;;;;;
розетка этюд;29;27;12;6;3496;0.27586206896551724;0.5;0.20689655172413793;12;;;;;;;;;;;;;;;;;;;;;;;;;;
огнетушитель оп4;29;26;13;6;28814;0.41379310344827586;0.38461538461538464;0.1724137931034483;16;;;;;;;;;;;;;;;;;;;;;;;;;;
набор люверсов rockforce 33 предмета, в блистере rf-894;29;29;3;3;1912;0.10344827586206896;1;0.10344827586206896;55;;;;;;;;;;;;;;;;;;;;;;;;;;
механический пресс-инструмент для аксиальных фитингов fora fw-m-1632 006080101;29;29;1;0;-;0.034482758620689655;0;0;78;;;;;;;;;;;;;;;;;;;;;;;;;;
сетевой перфоратор deko dkh850w кейс, набор из 5 буров, sds+, дополнительный патрон 063-4255;29;28;3;1;3699;0.10344827586206896;0.3333333333333333;0.034482758620689655;92;;;;;;;;;;;;;;;;;;;;;;;;;;
micro usb;29;29;9;4;1048;0.27586206896551724;0.4444444444444444;0.13793103448275862;9;;;;;;;;;;;;;;;;;;;;;;;;;;
топор фискарс;29;26;8;1;6410;0.20689655172413793;0.125;0.034482758620689655;13;;;;;;;;;;;;;;;;;;;;;;;;;;
ampro;29;27;1;0;-;0.034482758620689655;0;0;5;;;;;;;;;;;;;;;;;;;;;;;;;;
строительный пылесос пульсар пс 200 791-424;29;27;11;5;33178;0.3103448275862069;0.45454545454545453;0.1724137931034483;43;;;;;;;;;;;;;;;;;;;;;;;;;;
гайка доброга м3 цинк 100 шт. цб-00020746;29;28;11;1;43;0.3793103448275862;0.09090909090909091;0.034482758620689655;41;;;;;;;;;;;;;;;;;;;;;;;;;;
16033045;29;27;19;14;27294;0.4827586206896552;0.5263157894736842;0.3448275862068966;8;;;;;;;;;;;;;;;;;;;;;;;;;;
помповый распылитель wurth 1000 мл 5997741911090 1;28;28;10;5;7020;0.2857142857142857;0.5;0.17857142857142858;50;;;;;;;;;;;;;;;;;;;;;;;;;;
масло 4х тактное;28;24;8;6;11148;0.25;0.625;0.17857142857142858;16;;;;;;;;;;;;;;;;;;;;;;;;;;
сумка холодильник;28;28;3;1;3672;0.07142857142857142;0.3333333333333333;0.03571428571428571;17;;;;;;;;;;;;;;;;;;;;;;;;;;
складская гидравлическая тележка projack модель ac 2,5 т 070 2020 2500;28;25;5;3;123444;0.17857142857142858;0.6;0.10714285714285714;70;;;;;;;;;;;;;;;;;;;;;;;;;;
скобозабивной пистолет fubag s1216 100155;28;25;5;2;15556;0.14285714285714285;0.4;0.07142857142857142;41;;;;;;;;;;;;;;;;;;;;;;;;;;
помпа дренажная;28;27;4;1;2700;0.14285714285714285;0.25;0.03571428571428571;15;;;;;;;;;;;;;;;;;;;;;;;;;;
ривасол;28;24;4;3;7503;0.14285714285714285;0.75;0.10714285714285714;7;;;;;;;;;;;;;;;;;;;;;;;;;;
клемма заземления профи кз 31 сатурн 4627163100154;28;27;6;4;5363;0.21428571428571427;0.6666666666666666;0.14285714285714285;50;;;;;;;;;;;;;;;;;;;;;;;;;;
уклономер;28;28;0;0;-;0;-;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;
грунт экзо;28;25;16;3;534;0.35714285714285715;0.0625;0.03571428571428571;10;;;;;;;;;;;;;;;;;;;;;;;;;;
быстросъемные;28;27;1;0;-;0.03571428571428571;0;0;13;;;;;;;;;;;;;;;;;;;;;;;;;;
15637676;28;27;16;6;518;0.39285714285714285;0.25;0.14285714285714285;8;;;;;;;;;;;;;;;;;;;;;;;;;;
15559720;28;26;15;7;3842;0.42857142857142855;0.4666666666666667;0.25;8;;;;;;;;;;;;;;;;;;;;;;;;;;
ресанта саи 220;28;27;4;0;-;0.14285714285714285;0;0;15;;;;;;;;;;;;;;;;;;;;;;;;;;
pfrktgjxybr;28;28;3;2;29283;0.10714285714285714;0.6666666666666666;0.07142857142857142;11;;;;;;;;;;;;;;;;;;;;;;;;;;
жидкая резина kudo deco flex чёрная ku-5302;28;27;4;4;5982;0.14285714285714285;1;0.14285714285714285;43;;;;;;;;;;;;;;;;;;;;;;;;;;
набор ключей гаечных;28;27;10;0;-;0.21428571428571427;0;0;20;;;;;;;;;;;;;;;;;;;;;;;;;;
книги и бланки учета;28;28;4;1;125;0.14285714285714285;0.25;0.03571428571428571;20;;;;;;;;;;;;;;;;;;;;;;;;;;
уровень 2 м;28;28;7;1;1732;0.25;0.14285714285714285;0.03571428571428571;11;;;;;;;;;;;;;;;;;;;;;;;;;;
диэлектрическая отвертка квт профи 3.0 100 78608;28;25;4;2;719;0.14285714285714285;0.5;0.07142857142857142;48;;;;;;;;;;;;;;;;;;;;;;;;;;
15888604;28;27;1;1;25476;0.03571428571428571;1;0.03571428571428571;8;;;;;;;;;;;;;;;;;;;;;;;;;;
клипсы для труб;28;28;11;6;936;0.25;0.45454545454545453;0.17857142857142858;15;;;;;;;;;;;;;;;;;;;;;;;;;;
battipav;28;25;0;0;-;0;-;0;8;;;;;;;;;;;;;;;;;;;;;;;;;;
storch;28;27;1;1;90;0.03571428571428571;1;0.03571428571428571;6;;;;;;;;;;;;;;;;;;;;;;;;;;
лоток кабельный;28;28;5;0;-;0.07142857142857142;0;0;15;;;;;;;;;;;;;;;;;;;;;;;;;;
